Payer	Debit_CreditInd.	PercentofPayAmount	DaystoPay
10000100	S	98	14
10000100	S	96.04166667	21
100030	H	100	7
100030	S	100	47
100030	S	100	46
100030	S	100	41
100030	S	100	40
100030	S	100	42
100030	S	100	43
100030	S	100	42
100030	S	100	45
100030	S	100	40
100030	S	100	39
100030	S	100	39
100030	S	100	46
100030	S	98.18	39
100030	S	98.16666667	39
100030	S	100	44
100030	S	100	44
100030	S	100	42
100030	S	100	42
100040	H	100	27
100040	H	100	27
100040	H	100	24
100040	H	100	22
100040	S	98	21
100040	S	98.00000678	27
100040	S	98	22
100040	S	97.99256506	20
100040	S	98	21
100040	S	98.00004893	21
100040	S	98	20
100040	S	105.6210495	19
100049	H	100	2
100049	H	100	4
100059	H	100	11
100059	H	100	25
100059	S	94.93615287	13
100059	S	99.01388889	11
100059	S	98	7
100059	S	98.09803922	25
100059	S	98.13897891	19
100059	S	94.76789062	14
100059	S	98	19
100059	S	100	35
100059	S	98.19080961	8
100059	S	98.13055299	15
100059	S	98.10329452	14
100059	S	98	12
100059	S	98	12
100059	S	98	8
100064	H	100	7
100064	S	97.9994228	18
100064	S	97.99573561	18
100064	S	98.00003095	19
100064	S	98	14
100064	S	97.99999411	13
100064	S	97.99998896	15
100064	S	98	19
100064	S	97.99979662	19
100070	H	100	12
100070	H	100	17
100070	H	100	11
100070	H	100	20
100070	H	100	17
100070	S	98.03725851	29
100070	S	98.11732606	28
100070	S	97.95546591	26
100070	S	98.10162315	24
100070	S	97.93225338	26
100070	S	98.14159292	26
100070	S	98.02790551	28
100070	S	98	27
100070	S	97.75526506	29
100070	S	97.94351451	29
100070	S	97.99457995	28
100070	S	98.00147493	27
100091	S	98.29411765	64
100091	S	98.2160555	37
100091	S	98.1001873	29
100095	S	97.7326514	17
100095	S	97.75053504	15
100107	S	96.52116741	21
100108	S	97.99999514	58
100114	S	97.99971926	19
100114	S	98	21
100114	S	98	26
100119	S	97.99998666	21
100119	S	95.72033126	27
100130	H	100	50
100130	H	100	197
100130	H	100	14
100130	S	100	49
100130	S	100	46
100137	S	100	54
100158	S	98.00616424	33
100190	S	97.64180368	18
100190	S	97.72051649	18
100190	S	97.42481203	17
100190	S	97.42481203	17
100190	S	97.51361162	16
100190	S	97.42481203	15
100190	S	97.50592101	16
100190	S	97.77108177	16
100190	S	97.39543726	15
100190	S	97.39543726	16
100190	S	97.55177743	16
100190	S	97.51361162	16
100190	S	97.39533824	15
100190	S	97.55176753	15
100190	S	97.39543726	15
100203	S	97.83802628	21
100203	S	97.86216878	22
100203	S	97.81112772	21
100203	S	97.89165759	22
100203	S	97.90068456	21
100203	S	97.90296112	21
100203	S	97.64807308	21
100203	S	97.90705266	21
100203	S	97.65070081	21
100210	S	100	22
100210	S	100	51
100210	S	100	34
100212	S	97.99999779	19
100212	S	98.00819453	20
100212	S	98.00001798	20
100212	S	97.99999088	20
100212	S	97.99998205	24
100212	S	98.00000742	17
100212	S	98.00001306	20
100212	S	97.99998381	21
100212	S	98.00346771	15
100213	H	100	8
100213	H	100	8
100213	H	100	6
100213	H	100	6
100213	H	461.6358094	6
100213	H	21.66209769	6
100213	H	100	6
100213	H	100	8
100213	S	269.2981557	30
100213	S	224.5031959	30
100213	S	568.541457	29
100213	S	3280.932947	28
100213	S	97.35543148	31
100213	S	69.18780152	3
100213	S	125.9746346	32
100213	S	209.8960793	31
100213	S	188.2123794	31
100213	S	144.5868433	30
100213	S	21292.3717	30
100213	S	99.08971469	34
100213	S	98.00368468	32
100213	S	97.99999025	35
100213	S	98.00612832	33
100213	S	97.91978141	31
100213	S	98.00527161	30
100213	S	98.00646565	29
100213	S	98.00002307	29
100213	S	94.99939635	29
100213	S	97.99999485	33
100213	S	98.00665904	30
100213	S	98.00585337	28
100213	S	98.0051988	31
100213	S	98.00569876	30
100213	S	98.00474477	31
100213	S	98.00470772	30
100213	S	98.00612832	33
100213	S	97.91978141	31
100213	S	98.00527161	30
100213	S	98.00646565	29
100213	S	98.00002307	29
100213	S	98.0051988	31
100213	S	98.00569876	30
100213	S	98.00474477	31
100213	S	98.00470772	30
100213	S	97.99999485	33
100213	S	98.00665904	30
100213	S	94.99939635	29
100213	S	98.00585337	28
100213	S	98.00381498	30
100213	S	98.00499476	30
100213	S	98	29
100213	S	94.71808595	31
100213	S	98.00001855	31
100213	S	97.83802927	30
100213	S	96.5142538	30
100213	S	97.99999308	31
100213	S	98.00437969	30
100213	S	98	29
100213	S	97.85231004	24
100213	S	98.00443279	26
100213	S	202.622659	33
100213	S	189.2230885	32
100213	S	99.08971469	34
100213	S	97.99999025	35
100213	S	194.6704334	35
100213	S	49.33651184	32
100213	S	98.00368468	32
100228	H	100	72
100228	H	100	98
100228	S	98.09840564	39
100245	S	100	31
100245	S	98.00047893	21
100245	S	98.06251201	20
100275	S	98.00698796	34
100275	S	98	43
100275	S	87.83200531	43
100275	S	81.66666667	40
100275	S	97.99989194	39
100275	S	98	26
100275	S	97.99950968	42
100275	S	98	28
100275	S	97.99782372	26
100284	S	98.09284158	34
100284	S	82.63275952	34
100284	S	98.00012665	16
100284	S	98.03960396	36
100284	S	98.13583732	30
100336	S	98.2160555	28
100336	S	98.00240674	28
100375	S	98.14533822	37
100375	S	98.08214385	35
100385	S	95.40789474	21
100385	S	97.46594701	21
100385	S	97.50455373	21
100385	S	97.50455373	18
100385	S	97.70510617	18
100385	S	97.50455373	17
100385	S	97.50455373	18
100385	S	95.4489203	20
100385	S	95.47645603	19
100385	S	97.72043231	21
100403	H	100	-13
100403	H	100	-12
100403	H	100	-17
100403	H	100	-15
100403	S	98	21
100403	S	97.9999821	21
100403	S	97.9999821	21
100403	S	97.98501792	21
100403	S	97.98501792	21
100403	S	97.98501792	21
100403	S	97.98501792	21
100403	S	97.95170682	21
100403	S	97.98501792	21
100403	S	98.00000894	21
100403	S	98.00001416	21
100403	S	97.9999821	21
100403	S	98	21
100403	S	98.00001216	21
100403	S	98	21
100403	S	98.00001572	21
100403	S	97.9999821	21
100403	S	98.0000091	21
100403	S	98	21
100403	S	97.9999821	21
100403	S	97.99816482	21
100403	S	98	21
100403	S	98	21
100403	S	97.99999649	21
100403	S	97.98501792	21
100403	S	98	21
100403	S	97.97315696	20
100403	S	97.9999821	20
100403	S	97.99998017	20
100403	S	97.9999866	21
100403	S	97.98408238	20
100403	S	98	20
100403	S	98.00000913	20
100403	S	97.99999548	20
100403	S	98	20
100403	S	97.98501792	20
100403	S	97.98501792	20
100403	S	97.98501792	20
100403	S	97.9999821	20
100403	S	97.9999821	20
100403	S	98.00000698	20
100403	S	97.9999821	20
100403	S	98.00000999	20
100403	S	98.00001045	20
100403	S	98	20
100403	S	97.98501792	20
100403	S	98.00000931	20
100403	S	97.9999821	20
100403	S	97.98501792	20
100403	S	98.00000503	20
100403	S	97.92531592	20
100403	S	97.9999821	20
100403	S	98.00000376	20
100403	S	97.9999821	20
100403	S	98.00001128	20
100403	S	98.00000426	21
100403	S	98.00000587	20
100403	S	3238.983051	-8
100403	S	98	20
100403	S	98	20
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	20
100403	S	98	21
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	22
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	21
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	20
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98	19
100403	S	98.00052966	-8
100403	S	96.07605886	21
100403	S	98.00000303	20
100403	S	97.9999838	20
100403	S	97.99999879	20
100403	S	97.9999819	20
100403	S	97.99996744	25
100403	S	98.00000881	22
100403	S	97.92449909	22
100403	S	98.00001238	22
100403	S	97.99999278	22
100403	S	98.00000824	22
100403	S	98.00001238	22
100403	S	98.00001238	22
100403	S	98.00001238	22
100403	S	98.00000834	22
100403	S	98	22
100403	S	97.99999757	22
100403	S	98.00000561	22
100403	S	98	21
100403	S	98	21
100403	S	97.85251899	21
100403	S	97.92613583	21
100403	S	98.00001238	20
100403	S	98.00001238	20
100403	S	98	20
100403	S	97.99999095	20
100403	S	98.0000134	20
100403	S	98.00001552	20
100403	S	97.99999688	20
100403	S	98.00000208	20
100403	S	98.00001915	20
100403	S	98.00000879	20
100403	S	98	19
100403	S	97.99999003	19
100403	S	98.00000649	19
100403	S	98	19
100403	S	97.99999479	19
100403	S	98	19
100403	S	97.9999983	19
100403	S	98	19
100403	S	97.99999747	19
100403	S	97.9999921	19
100403	S	98.00001238	22
100403	S	98.00000698	22
100403	S	97.91940132	22
100403	S	98	22
100403	S	97.99998516	22
100403	S	98.00000942	22
100403	S	98.0000155	22
100403	S	98.00000266	22
100403	S	97.9999865	22
100403	S	97.99999438	22
100403	S	97.99998501	22
100403	S	97.99999541	22
100403	S	98.00001238	22
100403	S	98.00001238	21
100403	S	98.00001768	21
100403	S	98	21
100403	S	98.00001751	21
100403	S	98.00001238	21
100403	S	97.99998559	21
100403	S	97.94615003	21
100403	S	98.00002121	21
100403	S	98.00001513	21
100403	S	98	21
100403	S	97.9245835	21
100403	S	97.99998387	21
100403	S	97.99999861	21
100403	S	98	21
100403	S	98.00000403	21
100403	S	97.99999367	21
100403	S	98.00001238	20
100403	S	97.99999107	20
100403	S	97.99999734	20
100403	S	97.99998857	20
100403	S	97.99998324	20
100403	S	98.00000523	20
100403	S	97.99999584	20
100403	S	98.00001337	20
100403	S	98.00001346	22
100403	S	97.96731515	21
100403	S	98.00002052	21
100403	S	97.99998584	22
100403	S	97.99999011	22
100403	S	97.99997915	22
100403	S	98	21
100403	S	98	21
100403	S	98.00000167	21
100403	S	97.99998992	20
100403	S	82.56286799	99
100403	S	98.00000578	20
100403	S	97.99999285	20
100403	S	98	20
100403	S	97.99999566	20
