Account,Risk Cat,Avg Pay Days,Delayed Amt %,P30DTOA,90DSO,Decision
1,Moderate Risk,-16.98,2.91,0.00,13.18,Approved
2,Low Risk,-3.53,30.99,38.78,4.71,Approved
3,Moderate Risk,7.63,92.00,0.00,34.26,Rejected
4,Moderate Risk,-10.82,12.40,0.00,17.43,Approved
5,Moderate Risk,15.83,87.73,0.00,31.75,Rejected
6,Moderate Risk,0.00,0.00,0.00,90.00,Rejected
7,Moderate Risk,-18.11,0.16,0.00,4.45,Approved
8,Low Risk,-13.36,0.03,0.00,17.04,Approved
9,Low Risk,-7.65,1.54,0.00,29.73,Approved
10,Low Risk,-2.32,45.42,0.00,35.38,Approved
11,Low Risk,3.35,22.20,0.00,0.00,Approved
12,Low Risk,-16.94,0.00,0.00,32.64,Approved
13,Low Risk,-9.18,0.00,0.00,26.23,Approved
14,Moderate Risk,4.68,73.19,0.00,0.00,Rejected
15,Low Risk,-8.35,4.51,0.00,31.40,Approved
16,Moderate Risk,-12.64,0.00,0.00,30.09,Approved
17,Low Risk,12.16,90.58,0.00,48.49,Rejected
18,Low Risk,20.00,71.34,0.00,4.23,Hold
19,Low Risk,5.83,89.51,0.00,35.10,Hold
20,Low Risk,-9.28,7.00,-0.43,30.77,Approved
21,Moderate Risk,-4.58,18.86,0.00,14.04,Approved
22,Moderate Risk,-3.48,49.44,0.00,0.25,Hold
23,Moderate Risk,0.51,19.04,74.90,27.92,Rejected
24,Low Risk,-14.41,0.00,0.00,17.62,Approved
25,Low Risk,-8.66,0.48,0.00,17.05,Approved
26,Moderate Risk,-1.21,27.07,0.00,7.25,Approved
27,Low Risk,-9.67,1.12,3.42,34.60,Approved
28,Moderate Risk,-1.25,27.41,0.00,17.55,Approved
29,Moderate Risk,-4.80,48.29,0.00,1.19,Hold
30,Low Risk,-2.50,38.73,0.00,0.00,Approved
31,Low Risk,-1.32,25.90,0.00,62.15,Hold
32,Moderate Risk,4.15,78.12,1.70,18.46,Rejected
33,Low Risk,-9.57,7.92,0.00,14.94,Approved
34,Low Risk,-8.91,22.39,0.00,3.16,Approved
35,Low Risk,2.07,74.70,0.00,3.95,Approved
36,Low Risk,-6.70,98.08,0.00,0.00,Approved
37,Low Risk,3.36,83.12,0.18,4.46,Hold
38,Low Risk,10.86,98.95,0.00,2.59,Hold
39,Moderate Risk,-5.33,27.95,0.00,0.00,Approved
40,Low Risk,-0.08,59.95,0.00,19.60,Approved
41,Low Risk,-11.91,0.00,0.00,15.94,Approved
42,Low Risk,-10.46,0.46,0.36,20.14,Approved
43,Low Risk,30.50,100.00,0.00,0.00,Rejected
44,Moderate Risk,-17.26,0.00,0.00,0.00,Approved
45,Low Risk,-4.60,9.06,0.33,21.44,Approved
46,Low Risk,-9.57,7.99,49.02,68.85,Hold
47,Moderate Risk,-11.67,0.00,0.00,44.52,Hold
48,Moderate Risk,-8.50,18.17,0.00,0.00,Approved
49,Low Risk,-13.18,0.00,0.00,0.00,Approved
50,Low Risk,0.17,14.06,0.00,0.00,Approved
51,Low Risk,-7.83,0.77,0.75,26.73,Approved
52,Low Risk,10.11,13.65,0.00,0.00,Approved
53,Low Risk,-9.92,0.00,0.00,40.94,Approved
54,Moderate Risk,-16.40,0.00,0.00,0.00,Approved
55,Low Risk,-7.24,6.90,0.00,39.16,Approved
56,Low Risk,-6.10,17.49,0.00,23.56,Approved
57,Moderate Risk,-5.31,14.63,0.00,5.25,Approved
58,Low Risk,-16.62,0.00,0.00,13.84,Approved
59,Low Risk,-7.46,0.33,0.00,22.65,Approved
60,Moderate Risk,-12.60,20.41,0.00,0.00,Approved
61,Moderate Risk,-6.00,0.00,0.00,0.00,Approved
62,Low Risk,-11.56,0.00,0.00,0.00,Approved
63,Moderate Risk,-3.11,28.04,40.65,22.78,Rejected
64,Low Risk,-8.17,3.17,0.00,21.18,Approved
65,Low Risk,1.10,28.51,0.00,0.00,Approved
66,Moderate Risk,46.50,100.00,0.00,0.00,Rejected
67,Low Risk,-5.50,10.40,0.00,22.86,Approved
68,Moderate Risk,0.63,25.42,0.00,27.75,Approved
69,Low Risk,-12.77,0.59,0.00,0.00,Approved
70,Low Risk,-12.42,0.13,0.00,0.30,Approved
71,Low Risk,-7.11,43.10,0.00,0.00,Approved
72,Low Risk,-5.00,0.00,100.00,90.00,Hold
73,Moderate Risk,-3.67,0.00,0.00,0.00,Approved
74,Low Risk,-11.00,0.00,0.00,0.00,Approved
75,Low Risk,0.23,60.87,0.00,33.46,Hold
76,Moderate Risk,-6.21,65.52,0.00,90.00,Rejected
77,Moderate Risk,6.15,53.48,41.20,66.01,Rejected
78,Moderate Risk,-14.23,0.61,0.00,0.96,Approved
79,Low Risk,-9.00,0.00,0.00,0.00,Approved
80,Low Risk,-5.83,15.38,0.00,0.00,Approved
81,Low Risk,-12.22,0.82,0.00,0.00,Approved
82,Moderate Risk,-2.50,74.22,0.00,23.16,Rejected
83,Low Risk,-7.34,0.54,0.00,22.01,Approved
84,Low Risk,-0.43,19.35,0.00,27.26,Approved
85,Moderately High Risk,0.00,0.00,0.00,90.00,Approved
86,Low Risk,-12.95,0.99,0.00,17.44,Approved
87,Low Risk,-17.47,0.20,0.00,0.00,Approved
88,Moderate Risk,-11.00,0.00,0.00,0.00,Approved
89,Moderate Risk,-4.27,17.37,0.00,38.47,Hold
90,Low Risk,-13.33,10.75,0.00,2.60,Approved
91,Low Risk,1.99,15.60,0.00,0.00,Approved
92,Low Risk,-20.88,0.00,46.95,16.50,Approved
93,Moderate Risk,-15.50,0.00,0.00,0.00,Approved
94,Low Risk,-17.00,0.00,0.00,0.00,Approved
95,Low Risk,-10.89,0.00,0.00,0.00,Approved
96,Moderate Risk,-16.02,0.00,0.00,8.58,Approved
97,Low Risk,-11.62,29.41,0.00,69.55,Hold
98,Moderate Risk,-11.96,4.82,96.28,90.00,Rejected
99,Low Risk,-15.67,0.00,0.00,0.00,Approved
100,Moderate Risk,-4.27,16.69,0.00,22.99,Approved
101,Low Risk,-1.56,41.24,0.00,39.25,Approved
102,Low Risk,-14.00,0.00,0.00,47.97,Hold
103,Low Risk,-5.04,33.84,3.04,12.73,Approved
104,Moderate Risk,-12.90,0.35,0.00,26.30,Approved
105,Low Risk,-3.17,25.86,0.00,7.99,Approved
106,Low Risk,-17.24,0.00,0.00,0.00,Approved
107,Moderate Risk,-18.00,0.00,0.00,0.00,Approved
108,Moderate Risk,-6.80,2.94,7.05,41.15,Hold
109,Low Risk,-4.20,33.64,0.00,0.77,Approved
110,Moderate Risk,-1.34,21.27,0.00,16.40,Hold
111,Moderate Risk,-16.08,1.59,0.00,23.97,Approved
112,Low Risk,-17.00,0.00,0.00,0.00,Approved
113,Low Risk,-6.68,0.61,0.00,6.30,Approved
114,Low Risk,4.75,47.71,0.00,1.26,Approved
115,Moderate Risk,1.90,72.36,0.00,16.94,Rejected
116,Moderate Risk,-17.21,2.92,0.44,17.37,Approved
117,Low Risk,-3.16,45.71,0.00,15.10,Approved
118,Moderate Risk,-9.76,0.87,0.00,24.94,Approved
119,Low Risk,-4.22,54.42,0.00,0.00,Approved
120,Moderate Risk,21.67,100.00,0.00,0.00,Rejected
121,Low Risk,-10.69,0.00,0.00,27.42,Approved
122,Low Risk,-6.60,0.00,0.00,0.00,Approved
123,Low Risk,-10.29,13.56,34.03,81.43,Hold
124,Low Risk,-8.67,4.18,0.00,17.30,Approved
125,Low Risk,-11.29,1.14,0.00,41.18,Approved
126,Low Risk,1.48,18.00,0.00,16.63,Approved
127,Low Risk,-11.25,0.00,0.00,90.00,Hold
128,Moderate Risk,8.65,30.65,48.85,0.85,Hold
129,Low Risk,0.00,40.07,2.89,5.48,Approved
130,Low Risk,-12.84,0.06,0.00,3.85,Approved
131,Low Risk,-9.01,1.31,5.37,27.13,Approved
132,Low Risk,-13.54,5.53,60.82,0.23,Hold
133,Low Risk,-8.40,1.98,0.00,27.22,Approved
134,Low Risk,-10.74,0.00,0.00,14.65,Approved
135,Low Risk,-8.10,1.22,0.00,20.61,Approved
136,Low Risk,2.50,49.19,0.00,0.00,Approved
137,Moderate Risk,-2.48,11.11,2.15,25.16,Approved
138,Moderate Risk,-6.64,0.05,0.00,0.00,Approved
139,Moderate Risk,-17.21,2.13,60.13,5.91,Hold
140,Low Risk,-21.75,0.00,0.00,0.00,Approved
141,Moderate Risk,-13.80,4.50,0.00,18.31,Approved
142,Low Risk,-3.71,9.75,0.00,1.32,Approved
143,Low Risk,3.42,31.41,0.00,0.00,Approved
144,Moderate Risk,14.00,100.00,0.00,0.00,Rejected
145,Moderate Risk,-19.50,25.33,0.00,90.00,Rejected
146,Low Risk,-0.87,1.55,0.00,0.00,Approved
147,Moderate Risk,-2.67,31.61,0.00,0.00,Approved
148,Moderate Risk,-3.67,34.08,0.00,0.00,Approved
149,Moderate Risk,-11.89,5.23,0.00,21.63,Approved
150,Moderately High Risk,1.69,39.14,0.00,65.18,Approved
151,Low Risk,-9.38,3.76,0.00,4.06,Approved
152,Low Risk,-20.53,0.04,0.00,10.67,Approved
153,Moderate Risk,-14.78,4.58,0.00,13.32,Approved
154,Low Risk,25.93,82.38,83.30,61.54,Rejected
155,Low Risk,-7.00,0.00,0.00,0.00,Approved
156,Moderate Risk,16.46,69.15,0.00,46.11,Rejected
157,Moderate Risk,22.33,88.08,0.00,55.91,Rejected
158,Moderate Risk,2.72,69.84,0.00,27.04,Rejected
159,Moderate Risk,-1.42,40.93,29.66,32.45,Approved
160,Moderate Risk,-10.71,4.67,0.00,13.93,Approved
161,Low Risk,-8.28,7.57,11.06,13.58,Approved
162,Moderate Risk,-8.37,39.39,35.25,43.02,Hold
163,Low Risk,-18.13,0.00,0.00,0.00,Approved
164,Moderate Risk,-13.12,0.92,0.00,0.00,Approved
165,Moderate Risk,-11.00,0.00,0.00,0.00,Approved
166,Low Risk,1.00,66.31,0.00,42.38,Hold
167,Low Risk,-2.82,53.30,0.00,2.06,Approved
168,Low Risk,-5.93,36.12,0.00,25.79,Approved
169,Low Risk,-3.74,61.34,0.00,37.70,Approved
170,Low Risk,-3.67,47.55,0.00,90.00,Hold
171,Low Risk,-11.18,3.99,12.69,6.98,Approved
172,Low Risk,-7.19,10.40,5.26,14.10,Approved
173,Low Risk,-2.38,39.77,0.00,0.00,Approved
174,Low Risk,-3.83,55.49,35.64,49.93,Hold
